No.,Company Name,Phone,Email,Website,Address / Location,Skip Bin Hire,Rearlift / Wheelie Bins,Garden Bags / Skip Bags,Service Area,Notes / Source
1,United Skip Bin Hire,0411 462 108,info@unitedskipbinhire.com.au,https://www.unitedskipbinhire.com.au/,"22 Cahill Street, Dandenong South VIC 3175",Yes,Check with company,Check with company,Dandenong & SE Melbourne,Example company from request; company website
2,Bloom Skip Bins,0411 131 044,info@bloomskipbins.com.au,https://bloomskipbins.com.au/,"121 Greigs Rd, Truganina VIC 3029",Yes,Check with company,Check with company,Melbourne West & North,Company contact page
3,Osom Bin Hire,1300 778 096 / 0432 059 873,info@osomskipbinhire.com.au,https://www.osomskipbinhire.com.au/,"PO BOX 309, Flemington VIC 3031",Yes,Check with company,Check with company,Across Melbourne,Company contact page
4,Westgate Bin Hire,0403 215 624,info@westgatebinhire.com.au,https://westgatebinhire.com.au/,"48-50 Rebecca Dr, Ravenhall VIC 3023",Yes,Check with company,Check with company,Melbourne West,Company website
5,SKIPS Skip Bins,1800 383 944 / 03 9846 5272,info@skipsskipbins.com.au,https://skipsskipbins.com.au/,"15 Maida Avenue, Sunshine North VIC 3020",Yes,Check with company,Check with company,Melbourne metro,Also management@skipsskipbins.com.au
6,SKIPZ Recycling,1300 335 822,info@skipzrecycling.com.au,https://www.skipzrecycling.com.au/,"635 Glenferrie Rd, Hawthorn VIC 3122",Yes,Check with company,Check with company,Greater Melbourne,Company website
7,Kartaway,1300 362 362 / 03 9389 5100,info@kartaway.com.au,https://www.kartaway.com.au/,"19-21 Kirkdale St, Brunswick East VIC 3057",Yes,Check with company,Check with company,Melbourne (also Adelaide/Brisbane),Also listed as Kartaway Miniskips on CoM list (03 9326 5555)
8,WM Waste,1300 969 278,orders@wmwaste.com.au,https://www.wmwaste.com.au/,"10 Macquarie Place, Boronia VIC 3155",Yes,Check with company,Check with company,Eastern suburbs & Yarra Valley,Company / LinkedIn contact data
9,Wastex Bin Hire,03 9317 3888,info@wastex.com.au,https://www.wastex.com.au/,"Maidstone / Western suburbs, Melbourne",Yes,Check with company,Check with company,Melbourne-wide (based West),Hook lift & skip bins; company FAQ
10,Unlimited Bins (Skip Hire Melbourne),03 9460 5333,Not published clearly (see website),https://www.skiphiremelbourne.com.au/,"229 Newlands Road, Coburg North VIC 3058",Yes,Check with company,Check with company,"North, East, SE & West Melbourne",Also unlimitedbins.com.au; email obfuscated on site
11,Instant Bin Hire,0409 254 911,tonybayley@bigpond.com,https://instantbinhire.com.au/,"435 Nepean Hwy, Frankston VIC 3199",Yes,Check with company,Check with company,"Frankston, Mornington, Cranbourne",Company contact page
12,Choice Bins,03 9005 7675,Not found publicly (call/book online),https://choicebins.com.au/,"5 Hall Street, Braeside VIC 3195",Yes,Check with company,Green waste accepted in skips,Melbourne metro,Company website; email not listed
13,BINGO Industries,1300 424 646,enquiries@bingoindustries.com.au,https://www.bingoindustries.com.au/,"372-374 Dynon Rd, West Melbourne VIC 3003",Yes,Yes (commercial),Check with company,Melbourne & surrounds,Company contact page; CoM waste providers list
14,J.J. Richards & Sons (JJ's Waste),03 9794 5722,operations.melbourne@jjswaste.com.au,https://jjrichards.com.au/,"73 Waterview Close, Dandenong VIC 3175",Yes (RORO / skip truck),Yes,Check with company,"Melbourne (Dandenong, Somerton etc.)",Company contact page; CoM list
15,Ben's Waste Management,0418 369 869,info@benswaste.com,https://www.benswastemanagement.com.au/,"62 Colarco Drive, Derrimut VIC 3026",Yes,Check with company,Check with company,Melbourne,Company website
16,Secure Waste Solutions,1300 440 699,info@securewastesolutions.com.au,https://www.securewastesolutions.com.au/,"Suite 14, Level 2/799-807 Springvale Rd, Mulgrave VIC 3170",Yes,Check with company,Check with company,Melbourne,Company website
17,PJ's Waste,0438 142 918 / 0419 158 590,info@pjswaste.com.au,https://www.pjswaste.com.au/,"25 Westside Dr, Laverton North VIC 3026",Yes,Check with company,Check with company,~60% of Melbourne,Company contact page
18,AtoZ Waste Management,0419 786 061,info@atozwastemanagement.com.au,https://atozwastemanagement.com.au/,"1 Bolinda Road, Campbellfield VIC 3061",Yes,Check with company,Check with company,Melbourne,Company contact page
