No.,Company Name,Phone,Email,Website,Address / Location,Region (VIC),Skip Bin Hire,Rearlift / Wheelie Bins,Garden Bags / Skip Bags,Service Area,Notes / Source
1,United Skip Bin Hire,0411 462 108,info@unitedskipbinhire.com.au,https://www.unitedskipbinhire.com.au/,"22 Cahill Street, Dandenong South VIC 3175",Melbourne metro / surrounds,Yes,Check with company,Check with company,Dandenong & SE Melbourne,Example company from request; company website
2,Bloom Skip Bins,0411 131 044,info@bloomskipbins.com.au,https://bloomskipbins.com.au/,"121 Greigs Rd, Truganina VIC 3029",Melbourne metro / surrounds,Yes,Check with company,Check with company,Melbourne West & North,Company contact page
3,Osom Bin Hire,1300 778 096 / 0432 059 873,info@osomskipbinhire.com.au,https://www.osomskipbinhire.com.au/,"PO BOX 309, Flemington VIC 3031",Melbourne metro / surrounds,Yes,Check with company,Check with company,Across Melbourne,Company contact page
4,Westgate Bin Hire,0403 215 624,info@westgatebinhire.com.au,https://westgatebinhire.com.au/,"48-50 Rebecca Dr, Ravenhall VIC 3023",Melbourne metro / surrounds,Yes,Check with company,Check with company,Melbourne West,Company website
5,SKIPS Skip Bins,1800 383 944 / 03 9846 5272,info@skipsskipbins.com.au,https://skipsskipbins.com.au/,"15 Maida Avenue, Sunshine North VIC 3020",Melbourne metro / surrounds,Yes,Check with company,Check with company,Melbourne metro,Also management@skipsskipbins.com.au
6,SKIPZ Recycling,1300 335 822,info@skipzrecycling.com.au,https://www.skipzrecycling.com.au/,"635 Glenferrie Rd, Hawthorn VIC 3122",Melbourne metro / surrounds,Yes,Check with company,Check with company,Greater Melbourne,Company website
7,Kartaway,1300 362 362 / 03 9389 5100,info@kartaway.com.au,https://www.kartaway.com.au/,"19-21 Kirkdale St, Brunswick East VIC 3057",Melbourne metro / surrounds,Yes,Check with company,Check with company,Melbourne (also Adelaide/Brisbane),Also listed as Kartaway Miniskips on CoM list (03 9326 5555)
8,WM Waste,1300 969 278,orders@wmwaste.com.au,https://www.wmwaste.com.au/,"10 Macquarie Place, Boronia VIC 3155",Eastern suburbs / Yarra Valley,Yes,Check with company,Check with company,Eastern suburbs & Yarra Valley,Company / LinkedIn contact data
9,Wastex Bin Hire,03 9317 3888,info@wastex.com.au,https://www.wastex.com.au/,"Maidstone / Western suburbs, Melbourne",Melbourne metro / surrounds,Yes,Check with company,Check with company,Melbourne-wide (based West),Hook lift & skip bins; company FAQ
10,Unlimited Bins (Skip Hire Melbourne),03 9460 5333,admin@unlimitedbins.com.au,https://www.skiphiremelbourne.com.au/,"229 Newlands Road, Coburg North VIC 3058",Melbourne metro / surrounds,Yes,Check with company,Check with company,"North, East, SE & West Melbourne",Email from company contact page / privacy policy | was: Also unlimitedbins.com.au; email obfuscated on site
